"read","cohort.size","class.size"
64.7200012207031,42,21
69.0599975585938,42,21
65.5999984741211,42,21
68.7900009155273,42,21
44.4500007629395,42,21
70.6100006103516,42,21
58.0299987792969,42,21
46.2400016784668,42,21
71,42,21
65.9100036621094,42,21
73.0599975585938,42,21
71.2470016479492,43,21.5
72.3899993896484,43,21.5
79.9000015258789,43,21.5
64.2600021362305,43,21.5
76.6500015258789,43,21.5
66.2352905273438,43,21.5
77.4199981689453,43,21.5
77,43,21.5
79.8399963378906,43,21.5
84.5599975585938,43,21.5
89.6100006103516,43,21.5
86.2900009155273,43,21.5
80.4300003051758,43,21.5
70.7399978637695,43,21.5
85.8099975585938,43,21.5
67.6500015258789,43,21.5
78.5800018310547,43,21.5
80.6900024414062,43,21.5
61.7000007629395,43,21.5
88.379997253418,43,21.5
81.4400024414062,43,21.5
74.0022201538086,43,21.5
78.0599975585938,43,21.5
79.3499984741211,43,21.5
72.2399978637695,44,22
75.3519973754883,44,22
80.5699996948242,44,22
80.3199996948242,44,22
71.6861572265625,44,22
60.9500007629395,44,22
58.810001373291,44,22
71.8000030517578,44,22
81.7399978637695,44,22
75.9990463256836,44,22
59.3300018310547,44,22
75.7600021362305,44,22
69.4499969482422,44,22
64.2900009155273,44,22
75.1900024414062,44,22
69.6500015258789,44,22
83.6100006103516,44,22
62.4300003051758,45,22.5
77.8600006103516,45,22.5
69.5199966430664,45,22.5
81.5500030517578,45,22.5
83,45,22.5
61.8300018310547,45,22.5
67.7699966430664,45,22.5
85.0899963378906,45,22.5
80.620002746582,45,22.5
82.1600036621094,45,22.5
80.379997253418,45,22.5
82.3600006103516,45,22.5
83.6699981689453,45,22.5
71,45,22.5
78.25,45,22.5
90.4300003051758,45,22.5
61.3800010681152,45,22.5
85.5,45,22.5
76.620002746582,45,22.5
74.9020004272461,46,23
76.8899993896484,46,23
79.3899993896484,46,23
79.7699966430664,46,23
82.7633361816406,46,23
75.8600006103516,46,23
54.6500015258789,46,23
81.8600006103516,46,23
79.2399978637695,46,23
68.0999984741211,46,23
63.997501373291,46,23
61.6399993896484,46,23
73.75,46,23
62,46,23
84.3300018310547,46,23
65.6900024414062,46,23
68.6699981689453,46,23
53.189998626709,46,23
59.5900001525879,46,23
59.8800010681152,46,23
84.4300003051758,47,23.5
80.2399978637695,47,23.5
79.9000015258789,47,23.5
71.6100006103516,47,23.5
79.5,47,23.5
83.9100036621094,47,23.5
82.8600006103516,47,23.5
67,47,23.5
68.4100036621094,47,23.5
80.0999984741211,47,23.5
81.5,47,23.5
46.7700004577637,47,23.5
78.5400009155273,47,23.5
66.4300003051758,47,23.5
70.5,47,23.5
78,47,23.5
72.1999969482422,47,23.5
65.8600006103516,47,23.5
66.4800033569336,47,23.5
75.0400009155273,47,23.5
67.5800018310547,47,23.5
80.5199966430664,47,23.5
83.6500015258789,47,23.5
70.7936859130859,47,23.5
66.5899963378906,47,23.5
54,47,23.5
73.4100036621094,47,23.5
69.1800003051758,47,23.5
67.3499984741211,47,23.5
77.1999969482422,47,23.5
58.7099990844727,48,24
84.7099990844727,48,24
77.629997253418,48,24
78.5699996948242,48,24
76.7699966430664,48,24
67.3300018310547,48,24
83.3099975585938,48,24
76.5,48,24
75,48,24
81.0999984741211,48,24
64.9095687866211,48,24
80.9599990844727,48,24
86.4300003051758,48,24
85.3663177490234,48,24
64.8300018310547,48,24
66.6999969482422,48,24
65.4300003051758,48,24
68,48,24
57.1704177856445,48,24
73.1699981689453,48,24
70.0400009155273,48,24
66.8499984741211,48,24
79,48,24
73.3300018310547,48,24
79.0400009155273,48,24
67.1399993896484,48,24
67.1699981689453,49,24.5
70.7900009155273,49,24.5
71.9599990844727,49,24.5
78.9599990844727,49,24.5
76.1800003051758,49,24.5
79.3000030517578,49,24.5
77.2600021362305,49,24.5
75,49,24.5
79.4800033569336,49,24.5
76.6500015258789,49,24.5
76.129997253418,49,24.5
71.4382629394531,49,24.5
71.8308334350586,49,24.5
62.3600006103516,49,24.5
87.870002746582,49,24.5
73.4400024414062,49,24.5
77.3000030517578,49,24.5
83.3600006103516,49,24.5
64.6999969482422,49,24.5
74.2200012207031,49,24.5
