"","brand","fuel","HP","mpg","bodystyle","engine.size","n.cylinders"
"78","mitsubishi","gas",68,30.9989086050844,"hatchback",1.5076,4
"79","mitsubishi","gas",68,30.9989086050844,"hatchback",1.5076,4
"80","mitsubishi","gas",102,23.9989274222381,"hatchback",1.6059,4
"81","mitsubishi","gas",116,22.999266131005,"hatchback",1.8026,4
"82","mitsubishi","gas",88,24.9985887134712,"hatchback",1.9992,4
"83","mitsubishi","gas",145,19.0006209660727,"hatchback",2.5564,4
"84","mitsubishi","gas",145,19.0006209660727,"hatchback",2.5564,4
"85","mitsubishi","gas",145,19.0006209660727,"hatchback",2.5564,4
"86","mitsubishi","gas",88,24.9985887134712,"sedan",1.9992,4
"87","mitsubishi","gas",88,24.9985887134712,"sedan",1.9992,4
"88","mitsubishi","gas",116,22.999266131005,"sedan",1.8026,4
"89","mitsubishi","gas",116,22.999266131005,"sedan",1.8026,4
"90","nissan","gas",69,30.9989086050844,"sedan",1.5895,4
"91","nissan","diesel",55,44.998870970777,"sedan",1.6879,4
"92","nissan","gas",69,30.9989086050844,"sedan",1.5895,4
"93","nissan","gas",69,30.9989086050844,"sedan",1.5895,4
"94","nissan","gas",69,30.9989086050844,"wagon",1.5895,4
"95","nissan","gas",69,30.9989086050844,"sedan",1.5895,4
"96","nissan","gas",69,30.9989086050844,"hatchback",1.5895,4
"97","nissan","gas",69,30.9989086050844,"sedan",1.5895,4
"98","nissan","gas",69,30.9989086050844,"wagon",1.5895,4
"99","nissan","gas",69,30.9989086050844,"hardtop",1.5895,4
"100","nissan","gas",97,27.000263440152,"hatchback",1.9664,4
"101","nissan","gas",97,27.000263440152,"sedan",1.9664,4
"102","nissan","gas",152,16.9989462393918,"sedan",2.9661,6
"103","nissan","gas",152,16.9989462393918,"wagon",2.9661,6
"104","nissan","gas",152,19.0006209660727,"sedan",2.9661,6
"105","nissan","gas",160,19.0006209660727,"hatchback",2.9661,6
"106","nissan","gas",200,16.9989462393918,"hatchback",2.9661,6
"107","nissan","gas",160,19.0006209660727,"hatchback",2.9661,6
"108","peugeot","gas",97,19.0006209660727,"sedan",1.9664,4
"109","peugeot","diesel",95,27.9999247313851,"sedan",2.4908,4
"110","peugeot","gas",97,19.0006209660727,"wagon",1.9664,4
"111","peugeot","diesel",95,24.9985887134712,"wagon",2.4908,4
"112","peugeot","gas",95,19.0006209660727,"sedan",1.9664,4
"113","peugeot","diesel",95,27.9999247313851,"sedan",2.4908,4
"114","peugeot","gas",95,19.0006209660727,"wagon",1.9664,4
"115","peugeot","diesel",95,24.9985887134712,"wagon",2.4908,4
"116","peugeot","gas",97,19.0006209660727,"sedan",1.9664,4
"117","peugeot","diesel",95,27.9999247313851,"sedan",2.4908,4
"118","peugeot","gas",142,17.9986075306249,"sedan",2.1959,4
"119","plymouth","gas",68,36.9992284966976,"hatchback",1.4748,4
"120","plymouth","gas",102,23.9989274222381,"hatchback",1.6059,4
"121","plymouth","gas",68,30.9989086050844,"hatchback",1.4748,4
"122","plymouth","gas",68,30.9989086050844,"sedan",1.4748,4
"123","plymouth","gas",68,30.9989086050844,"sedan",1.6059,4
"124","plymouth","gas",88,23.9989274222381,"wagon",1.9992,4
"125","plymouth","gas",145,19.0006209660727,"hatchback",2.5564,4
"126","porsche","gas",143,19.0006209660727,"hatchback",2.4744,4
"127","porsche","gas",207,16.9989462393918,"hardtop",3.1791,6
"128","porsche","gas",207,16.9989462393918,"hardtop",3.1791,6
"129","porsche","gas",207,16.9989462393918,"convertible",3.1791,6
"130","porsche","gas",288,16.9989462393918,"hatchback",3.3266,8
"131","saab","gas",110,20.9999435485388,"hatchback",1.9828,4
"132","saab","gas",110,20.9999435485388,"sedan",1.9828,4
"133","saab","gas",110,20.9999435485388,"hatchback",1.9828,4
"134","saab","gas",110,20.9999435485388,"sedan",1.9828,4
"135","saab","gas",160,19.0006209660727,"hatchback",1.9828,4
"136","saab","gas",160,19.0006209660727,"sedan",1.9828,4
"137","subaru","gas",69,30.9989086050844,"hatchback",1.5895,4
"138","subaru","gas",73,25.9982500047043,"hatchback",1.7698,4
"139","subaru","gas",73,25.9982500047043,"hatchback",1.7698,4
"140","subaru","gas",82,31.9985698963175,"sedan",1.7698,4
"141","subaru","gas",82,27.9999247313851,"sedan",1.7698,4
"142","subaru","gas",94,25.9982500047043,"sedan",1.7698,4
"143","subaru","gas",82,23.9989274222381,"sedan",1.7698,4
"144","subaru","gas",111,23.9989274222381,"sedan",1.7698,4
"145","subaru","gas",82,27.9999247313851,"wagon",1.7698,4
"146","subaru","gas",94,24.9985887134712,"wagon",1.7698,4
"147","subaru","gas",82,22.999266131005,"wagon",1.7698,4
"148","subaru","gas",111,22.999266131005,"wagon",1.7698,4
"149","toyota","gas",62,34.9999059142314,"hatchback",1.5076,4
"150","toyota","gas",62,30.9989086050844,"hatchback",1.5076,4
"151","toyota","gas",62,30.9989086050844,"hatchback",1.5076,4
"152","toyota","gas",62,30.9989086050844,"wagon",1.5076,4
"153","toyota","gas",62,27.000263440152,"wagon",1.5076,4
"154","toyota","gas",62,27.000263440152,"wagon",1.5076,4
"155","toyota","gas",70,29.9992473138513,"sedan",1.6059,4
"156","toyota","gas",70,29.9992473138513,"hatchback",1.6059,4
"157","toyota","diesel",56,34.0002446229983,"sedan",1.8026,4
"158","toyota","diesel",56,37.9988897879307,"hatchback",1.8026,4
"159","toyota","gas",70,37.9988897879307,"sedan",1.6059,4
"160","toyota","gas",70,27.9999247313851,"hatchback",1.6059,4
"161","toyota","gas",70,27.9999247313851,"sedan",1.6059,4
"162","toyota","gas",70,28.9995860226182,"sedan",1.6059,4
"163","toyota","gas",70,28.9995860226182,"hatchback",1.6059,4
"164","toyota","gas",112,25.9982500047043,"sedan",1.6059,4
"165","toyota","gas",112,25.9982500047043,"hatchback",1.6059,4
"166","toyota","gas",116,23.9989274222381,"hardtop",2.3925,4
"167","toyota","gas",116,23.9989274222381,"hardtop",2.3925,4
"168","toyota","gas",116,23.9989274222381,"hatchback",2.3925,4
"169","toyota","gas",116,23.9989274222381,"hardtop",2.3925,4
"170","toyota","gas",116,23.9989274222381,"hatchback",2.3925,4
"171","toyota","gas",116,23.9989274222381,"convertible",2.3925,4
"172","toyota","gas",92,28.9995860226182,"sedan",1.9992,4
"173","toyota","diesel",73,29.9992473138513,"sedan",1.8026,4
"174","toyota","gas",92,27.000263440152,"hatchback",1.9992,4
"175","toyota","gas",92,27.000263440152,"sedan",1.9992,4
"176","toyota","gas",92,27.000263440152,"hatchback",1.9992,4
"177","toyota","gas",161,20.0002822573058,"hatchback",2.8022,6
"178","toyota","gas",161,19.0006209660727,"hatchback",2.8022,6
"179","toyota","gas",156,20.0002822573058,"sedan",2.8022,6
"180","toyota","gas",156,19.0006209660727,"wagon",2.6383,6
"181","volkswagen","diesel",52,36.9992284966976,"sedan",1.5895,4
"182","volkswagen","gas",85,27.000263440152,"sedan",1.7862,4
"183","volkswagen","diesel",52,36.9992284966976,"sedan",1.5895,4
"184","volkswagen","gas",85,27.000263440152,"sedan",1.7862,4
"185","volkswagen","gas",85,27.000263440152,"sedan",1.7862,4
"186","volkswagen","diesel",68,36.9992284966976,"sedan",1.5895,4
"187","volkswagen","gas",100,25.9982500047043,"sedan",1.7862,4
"188","volkswagen","gas",90,23.9989274222381,"convertible",1.7862,4
"189","volkswagen","gas",90,23.9989274222381,"hatchback",1.7862,4
"190","volkswagen","gas",110,19.0006209660727,"sedan",2.2286,5
"191","volkswagen","diesel",68,32.9982311875506,"sedan",1.5895,4
"192","volkswagen","gas",88,24.9985887134712,"wagon",1.7862,4
"193","volvo","gas",114,22.999266131005,"sedan",2.3106,4
"194","volvo","gas",114,22.999266131005,"wagon",2.3106,4
"195","volvo","gas",114,23.9989274222381,"sedan",2.3106,4
"196","volvo","gas",114,23.9989274222381,"wagon",2.3106,4
"197","volvo","gas",162,16.9989462393918,"sedan",2.1303,4
"198","volvo","gas",162,16.9989462393918,"wagon",2.1303,4
"199","volvo","gas",114,22.999266131005,"sedan",2.3106,4
"200","volvo","gas",160,19.0006209660727,"sedan",2.3106,4
"201","volvo","gas",134,17.9986075306249,"sedan",2.835,6
"202","volvo","diesel",106,25.9982500047043,"sedan",2.3761,6
"203","volvo","gas",114,19.0006209660727,"sedan",2.3106,4
