"","id","female","city","age","logins","succession","unsubscribe"
"91",91,0,0,36,0,1,1
"92",92,1,1,35,8,1,0
"93",93,1,1,42,5,1,0
"94",94,1,1,47,4,1,0
"95",95,0,1,38,5,1,0
"96",96,1,1,41,0,1,0
"97",97,0,1,45,7,1,0
"98",98,1,1,51,7,1,0
"99",99,1,1,43,3,1,0
"100",100,0,1,53,7,1,0
"101",101,1,1,29,5,1,0
"102",102,1,1,44,2,1,0
"103",103,1,1,49,3,1,0
"104",104,1,1,44,8,0,0
"105",105,0,1,45,3,1,0
"106",106,0,1,44,5,1,1
"107",107,0,1,41,8,1,0
"108",108,0,1,53,4,1,0
"109",109,1,1,46,10,0,0
"110",110,0,1,36,3,1,0
"111",111,0,1,42,0,1,0
"112",112,0,0,52,0,1,0
"113",113,1,1,53,0,1,1
"114",114,1,1,56,0,1,0
"115",115,0,1,44,7,1,0
"116",116,1,1,52,0,1,1
"117",117,0,0,48,0,1,1
"118",118,0,1,46,5,1,1
"119",119,1,0,47,0,1,0
"120",120,0,1,55,0,1,1
"121",121,1,1,42,0,1,1
"122",122,1,1,53,5,1,0
"123",123,1,1,42,10,0,0
"124",124,0,0,44,0,1,0
"125",125,1,1,48,0,1,1
"126",126,1,1,42,10,0,0
"127",127,0,1,54,3,1,1
"128",128,0,1,35,5,1,0
"129",129,0,1,52,8,0,1
"130",130,1,1,39,10,0,0
"131",131,1,1,43,7,1,0
"132",132,0,1,37,8,1,0
"133",133,0,0,46,0,1,1
"134",134,1,1,45,3,1,0
"135",135,0,1,55,7,1,0
"136",136,1,1,53,0,1,0
"137",137,1,1,49,5,1,1
"138",138,1,1,42,7,1,1
"139",139,1,1,44,8,1,1
"140",140,0,1,36,9,0,0
"141",141,0,1,41,10,0,0
"142",142,1,1,42,7,1,1
"143",143,1,1,58,0,1,0
"144",144,0,1,52,5,1,0
"145",145,1,0,46,0,1,1
"146",146,0,0,49,8,0,1
"147",147,0,1,58,0,1,0
"148",148,1,1,47,5,1,0
"149",149,1,1,43,0,1,0
"150",150,1,1,38,8,0,1
"151",151,0,1,48,10,0,0
"152",152,0,1,36,3,1,1
"153",153,1,1,44,2,1,0
"154",154,1,1,54,8,1,1
"155",155,0,1,45,8,0,0
"156",156,0,1,61,0,1,0
"157",157,0,1,39,3,1,0
"158",158,0,1,39,0,1,1
"159",159,1,1,51,0,1,1
"160",160,0,1,41,0,1,0
"161",161,0,0,43,0,1,0
"162",162,0,1,42,9,0,0
"163",163,1,1,47,10,0,0
"164",164,1,1,50,0,1,1
"165",165,1,1,41,5,1,0
"166",166,1,1,39,0,1,0
"167",167,1,1,50,0,1,1
"168",168,0,1,41,5,1,0
"169",169,0,1,56,3,1,1
"170",170,0,1,41,7,1,1
"171",171,1,1,38,5,1,0
"172",172,1,0,39,9,0,1
"173",173,0,0,51,8,0,1
"174",174,0,1,41,10,0,1
"175",175,0,1,53,0,1,0
"176",176,1,1,54,5,1,0
"177",177,0,1,45,0,1,1
"178",178,0,1,55,5,1,0
"179",179,1,0,39,0,1,0
"180",180,0,1,33,5,1,0
"181",181,1,1,47,10,0,0
"182",182,0,1,50,0,1,1
"183",183,0,0,38,0,1,1
"184",184,0,1,56,7,1,1
"185",185,1,1,51,5,1,0
"186",186,1,1,41,5,1,0
"187",187,1,1,35,2,1,1
"188",188,1,1,46,3,1,1
"189",189,1,1,47,0,1,0
"190",190,0,1,50,4,1,0
"191",191,0,0,33,0,1,0
"192",192,1,1,52,5,1,0
"193",193,1,1,46,10,0,0
"194",194,0,0,42,0,1,0
"195",195,0,1,52,3,1,1
"196",196,1,1,47,0,1,1
"197",197,1,1,38,9,0,0
"198",198,0,1,49,3,1,0
"199",199,1,1,49,4,1,0
"200",200,0,1,46,10,0,0
"201",201,1,1,37,5,1,1
"202",202,0,1,46,7,1,0
"203",203,0,1,42,10,0,1
"204",204,0,0,47,0,1,0
"205",205,1,1,50,10,0,0
"206",206,0,1,43,0,1,1
"207",207,0,1,35,2,1,0
"208",208,0,1,33,10,0,0
"209",209,1,1,39,0,1,1
"210",210,1,1,49,7,1,0
"211",211,1,1,46,10,0,0
"212",212,0,1,42,2,1,1
"213",213,1,1,37,9,0,0
"214",214,1,1,53,0,1,0
"215",215,1,0,40,8,0,0
"216",216,0,1,42,0,1,0
"217",217,0,1,45,0,1,0
"218",218,0,1,44,0,1,1
"219",219,1,0,54,0,1,1
"220",220,1,1,44,0,1,0
"221",221,0,0,41,0,1,0
"222",222,1,1,43,9,0,0
"223",223,0,0,56,8,0,0
"224",224,0,1,42,0,1,1
"225",225,1,1,58,3,1,1
"226",226,0,1,47,8,0,0
"227",227,1,0,47,0,1,0
"228",228,1,1,47,10,0,0
"229",229,1,1,48,5,1,1
"230",230,1,1,39,10,0,0
"231",231,0,1,50,3,1,0
"232",232,1,1,55,3,1,0
"233",233,0,1,34,10,0,0
"234",234,0,1,46,5,1,1
"235",235,1,1,45,0,1,0
"236",236,1,1,45,10,0,0
"237",237,1,1,45,5,1,0
"238",238,0,1,38,0,1,0
"239",239,0,1,41,5,1,0
"240",240,0,1,49,3,1,0
"241",241,1,1,45,3,1,0
"242",242,0,1,45,2,1,0
"243",243,0,1,55,10,0,0
"244",244,0,1,48,5,1,0
"245",245,1,1,35,10,0,0
"246",246,0,1,41,10,0,0
"247",247,0,0,47,8,0,1
"248",248,1,1,39,8,0,0
"249",249,1,1,42,5,1,0
"250",250,1,1,40,2,1,0
"251",251,1,1,42,7,1,0
"252",252,0,1,44,8,0,0
"253",253,1,1,47,3,1,0
"254",254,1,0,47,0,1,1
"255",255,0,1,51,10,0,0
"256",256,0,1,41,10,0,0
"257",257,1,1,34,0,1,0
"258",258,1,1,51,10,0,0
"259",259,0,1,47,7,1,0
"260",260,0,1,64,7,1,0
"261",261,1,1,52,8,0,0
"262",262,0,1,46,10,0,0
"263",263,1,1,56,9,0,0
"264",264,0,1,44,10,0,0
"265",265,0,1,29,5,1,0
"266",266,0,1,46,7,1,0
"267",267,1,1,58,0,1,0
"268",268,1,1,37,5,1,0
"269",269,0,1,44,9,0,0
"270",270,0,1,36,5,1,0
"271",271,0,0,42,0,1,0
"272",272,0,1,43,3,1,1
"273",273,1,1,44,3,1,1
"274",274,1,1,37,0,1,0
"275",275,0,0,41,0,1,0
"276",276,0,1,59,4,1,0
"277",277,1,1,42,5,1,0
"278",278,1,1,43,5,1,0
"279",279,0,1,57,10,0,0
"280",280,1,1,43,10,0,0
"281",281,1,1,49,10,0,0
"282",282,1,1,41,2,1,0
"283",283,1,1,72,8,1,0
"284",284,1,1,34,0,1,0
"285",285,0,0,45,8,0,0
"286",286,0,1,44,10,0,0
"287",287,0,1,39,7,1,0
"288",288,0,1,42,4,1,1
"289",289,1,1,51,2,1,1
"290",290,1,1,35,5,1,0
"291",291,1,0,50,0,1,0
"292",292,0,1,38,4,1,0
"293",293,1,1,51,2,1,0
"294",294,0,1,47,4,1,1
"295",295,1,1,45,2,1,0
"296",296,1,0,45,0,1,0
"297",297,0,1,48,10,0,0
"298",298,0,1,39,10,0,0
"299",299,0,0,50,8,0,0
"300",300,0,0,52,9,0,0
"301",301,0,0,41,8,0,1
"302",302,0,1,37,10,0,0
"303",303,0,1,40,2,1,0
"304",304,0,1,38,4,1,0
"305",305,1,1,47,0,1,0
"306",306,0,0,37,0,1,0
"307",307,1,1,45,0,1,0
"308",308,0,1,51,9,0,0
"309",309,0,1,47,5,1,0
"310",310,0,1,50,5,1,0
"311",311,1,1,41,10,0,0
"312",312,0,1,48,5,1,0
"313",313,1,1,42,9,0,0
"314",314,1,1,37,0,1,0
"315",315,1,1,45,5,1,0
"316",316,0,1,37,5,1,1
"317",317,0,0,58,0,1,0
"318",318,0,1,40,0,1,1
"319",319,0,1,43,8,0,0
"320",320,0,0,47,0,1,0
"321",321,1,1,34,0,1,0
"322",322,0,1,51,8,0,0
"323",323,0,1,44,8,1,0
"324",324,0,1,43,10,0,0
"325",325,1,0,43,7,0,0
"326",326,0,1,35,2,1,0
"327",327,0,1,51,5,1,0
"328",328,0,1,47,8,1,1
"329",329,0,1,51,10,0,0
"330",330,0,1,51,8,1,1
"331",331,1,1,58,8,0,0
"332",332,1,1,39,3,1,0
"333",333,1,1,34,5,1,1
"334",334,0,1,58,5,1,0
"335",335,1,1,54,0,1,1
"336",336,1,1,49,4,1,0
"337",337,0,1,48,3,1,0
"338",338,1,1,46,3,1,0
"339",339,0,0,37,0,1,0
"340",340,0,1,53,0,1,0
"341",341,0,1,41,9,0,0
"342",342,1,1,54,10,0,1
"343",343,0,1,41,5,1,1
"344",344,1,1,46,0,1,0
"345",345,1,1,51,0,1,0
"346",346,1,1,42,10,0,0
"347",347,0,1,35,5,1,1
"348",348,0,1,44,5,1,1
"349",349,1,1,39,7,1,0
"350",350,0,1,48,0,1,1
"351",351,1,1,41,4,1,1
"352",352,1,1,38,10,0,0
"353",353,0,1,44,9,0,0
"354",354,1,1,41,8,0,0
"355",355,1,1,55,8,1,0
"356",356,1,0,37,0,1,0
"357",357,0,0,51,0,1,0
"358",358,1,1,48,10,0,0
"359",359,0,1,40,10,0,0
"360",360,1,1,49,0,1,0
"361",361,1,1,42,7,1,0
"362",362,1,1,43,7,1,0
"363",363,0,1,51,9,0,0
"364",364,1,1,40,0,1,0
"365",365,0,1,41,0,1,0
"366",366,0,1,49,2,1,0
"367",367,1,1,50,3,1,0
"368",368,1,0,62,9,0,0
"369",369,0,1,47,0,1,0
"370",370,0,1,41,0,1,0
"371",371,0,1,48,7,1,0
"372",372,0,1,51,0,1,1
"373",373,1,1,37,5,1,0
"374",374,1,0,33,0,1,0
"375",375,1,1,52,5,1,1
"376",376,1,1,37,10,0,0
"377",377,1,1,42,5,1,0
"378",378,1,1,39,0,1,0
"379",379,1,1,38,7,1,0
"380",380,0,1,30,10,0,0
"381",381,1,1,37,0,1,0
"382",382,1,1,26,5,1,0
"383",383,1,1,42,5,1,0
"384",384,1,1,39,0,1,1
"385",385,0,0,36,0,1,1
"386",386,0,1,45,5,1,0
"387",387,1,1,37,5,1,0
"388",388,0,1,53,10,0,0
"389",389,0,0,54,0,1,1
"390",390,0,0,43,5,1,1
"391",391,1,1,49,9,0,0
"392",392,1,1,50,4,1,0
"393",393,0,1,49,4,1,1
"394",394,1,1,54,4,1,0
"395",395,0,0,44,0,1,0
"396",396,0,1,49,9,0,0
"397",397,1,1,57,3,1,0
"398",398,1,0,54,0,1,0
"399",399,0,0,42,0,1,0
"400",400,1,1,45,9,0,0
"401",401,0,1,35,10,0,0
"402",402,1,1,41,5,1,0
"403",403,1,1,64,3,1,0
"404",404,1,1,47,0,1,0
"405",405,0,1,49,9,0,0
"406",406,0,1,36,2,1,0
"407",407,0,1,49,2,1,1
"408",408,0,1,44,7,1,0
"409",409,0,1,37,7,1,0
"410",410,1,1,48,10,0,0
"411",411,1,0,43,3,1,1
"412",412,0,1,42,0,1,1
"413",413,1,1,51,5,1,1
"414",414,0,1,55,9,0,1
"415",415,1,1,44,0,1,1
"416",416,0,0,41,0,1,0
"417",417,1,0,52,0,1,1
"418",418,0,1,45,8,0,0
"419",419,0,1,54,10,0,0
"420",420,0,1,50,7,1,0
"421",421,0,1,43,4,1,0
"422",422,0,1,54,0,1,1
"423",423,0,1,45,0,1,1
"424",424,0,1,33,4,1,1
"425",425,1,1,48,3,1,0
"426",426,1,0,36,0,1,0
"427",427,1,1,39,0,1,0
"428",428,0,1,48,5,1,1
"429",429,1,0,52,8,0,0
"430",430,1,1,48,7,1,0
"431",431,0,1,46,10,0,0
"432",432,1,1,60,10,0,1
"433",433,1,1,54,10,0,0
"434",434,1,1,39,5,1,0
"435",435,1,1,46,2,1,0
"436",436,0,0,52,0,1,0
"437",437,0,1,50,9,0,1
"438",438,0,1,43,8,0,0
"439",439,1,1,51,10,0,0
"440",440,0,1,47,3,1,0
"441",441,1,1,44,4,1,0
"442",442,1,1,28,10,0,0
"443",443,1,1,48,0,1,0
"444",444,0,1,45,8,1,0
"445",445,0,1,51,8,0,1
"446",446,0,0,38,0,1,0
"447",447,0,1,49,3,1,0
"448",448,1,1,37,10,0,0
"449",449,0,1,51,0,1,0
"450",450,1,0,43,7,0,0
"451",451,1,1,47,0,1,1
"452",452,0,1,39,5,1,0
"453",453,0,0,44,0,1,0
"454",454,0,1,44,10,0,0
"455",455,1,1,40,3,1,0
"456",456,0,0,43,8,0,0
"457",457,0,1,40,9,0,0
"458",458,0,0,35,0,1,0
"459",459,1,0,34,0,1,0
"460",460,1,1,46,5,1,0
"461",461,0,1,47,10,0,0
"462",462,0,0,46,0,1,1
"463",463,0,1,38,7,1,1
"464",464,0,1,58,7,1,0
"465",465,1,1,50,10,0,0
"466",466,0,0,56,2,1,0
"467",467,1,1,37,9,0,0
"468",468,1,1,42,0,1,1
"469",469,1,1,49,9,0,0
"470",470,1,1,45,7,1,0
"471",471,1,1,38,0,1,1
"472",472,1,1,43,10,0,0
"473",473,1,1,52,10,0,1
"474",474,1,1,52,2,1,0
"475",475,0,1,40,5,1,0
"476",476,0,1,49,10,0,0
"477",477,0,1,53,7,1,0
"478",478,0,0,49,0,1,0
"479",479,0,1,48,4,1,1
"480",480,0,1,56,0,1,0
"481",481,1,1,40,7,1,0
"482",482,1,1,51,7,1,0
"483",483,0,0,42,0,1,0
"484",484,1,1,50,10,0,0
"485",485,1,1,39,9,0,0
"486",486,1,1,51,3,1,0
"487",487,1,1,49,7,1,0
"488",488,0,0,44,0,1,1
"489",489,0,1,56,9,0,0
"490",490,1,1,46,10,0,1
"491",491,0,1,45,10,0,0
"492",492,1,1,40,5,1,0
"493",493,1,1,38,4,1,0
"494",494,1,1,36,10,0,0
"495",495,1,0,47,9,0,0
"496",496,0,1,48,5,1,1
"497",497,1,1,48,10,0,0
"498",498,1,1,43,10,0,0
"499",499,0,1,54,4,1,0
"500",500,1,1,43,0,1,1
"501",501,1,1,42,3,1,1
"502",502,0,1,47,3,1,0
"503",503,1,1,41,4,1,0
"504",504,1,1,51,5,1,0
"505",505,1,1,40,8,0,0
"506",506,1,0,40,0,1,0
"507",507,0,1,53,3,1,0
"508",508,1,1,39,0,1,0
"509",509,0,0,43,0,1,1
"510",510,0,1,42,3,1,0
"511",511,1,1,50,0,1,0
"512",512,1,0,61,0,1,1
"513",513,1,1,50,3,1,0
"514",514,1,1,37,4,1,0
"515",515,0,1,39,0,1,1
"516",516,1,1,51,0,1,0
"517",517,1,0,47,8,0,0
"518",518,1,1,47,10,0,0
"519",519,1,1,54,10,0,0
"520",520,0,0,45,0,1,1
"521",521,0,1,44,3,1,0
"522",522,0,1,43,0,1,0
"523",523,0,0,49,0,1,1
"524",524,0,0,40,4,1,0
"525",525,1,1,52,0,1,1
"526",526,1,1,38,7,1,0
"527",527,0,1,58,9,0,1
"528",528,0,1,48,10,0,0
"529",529,0,1,39,3,1,0
"530",530,1,1,39,4,1,1
"531",531,0,1,43,7,1,1
"532",532,0,1,51,0,1,1
"533",533,0,1,49,8,1,0
"534",534,0,1,45,4,1,0
"535",535,1,0,51,0,1,0
"536",536,1,1,48,0,1,1
"537",537,1,1,39,5,1,0
"538",538,0,1,49,5,1,0
"539",539,0,1,38,10,0,1
"540",540,0,1,45,0,1,0
"541",541,0,1,39,4,1,0
"542",542,0,1,49,10,0,1
"543",543,0,1,41,0,1,0
"544",544,0,1,47,2,1,0
"545",545,0,1,34,0,1,0
"546",546,0,1,43,7,1,0
"547",547,1,1,52,5,1,1
"548",548,0,1,51,0,1,0
"549",549,0,1,37,7,1,0
"550",550,0,0,66,8,0,0
"551",551,1,1,46,5,1,0
"552",552,0,1,44,10,0,0
"553",553,1,1,60,8,0,0
"554",554,0,1,36,0,1,1
"555",555,0,0,46,0,1,1
"556",556,0,1,44,7,1,0
"557",557,0,1,46,0,1,0
"558",558,1,1,44,3,1,0
"559",559,1,1,45,3,1,1
"560",560,1,0,37,8,0,0
"561",561,0,1,32,0,1,1
"562",562,1,1,35,5,1,0
"563",563,0,1,45,10,0,0
"564",564,0,1,35,5,1,0
"565",565,0,1,41,10,0,0
"566",566,1,1,42,4,1,0
"567",567,0,1,50,0,1,1
"568",568,0,1,46,5,1,0
"569",569,0,0,57,8,0,0
"570",570,0,1,26,3,1,1
"571",571,0,1,37,10,0,0
"572",572,1,1,39,5,1,0
"573",573,0,1,53,10,0,0
"574",574,1,0,41,3,1,0
"575",575,1,1,56,0,1,1
"576",576,1,1,49,7,1,0
"577",577,0,1,57,3,1,1
"578",578,1,0,43,0,1,0
"579",579,0,0,53,8,0,0
"580",580,1,1,48,5,1,1
"581",581,0,1,40,5,1,0
"582",582,0,1,47,0,1,1
"583",583,1,0,50,8,0,0
"584",584,0,0,48,8,0,0
"585",585,1,1,51,5,1,1
"586",586,0,1,49,0,1,1
"587",587,0,0,59,0,1,0
"588",588,0,1,46,3,1,0
"589",589,1,1,42,4,1,0
"590",590,0,0,36,0,1,0
"591",591,1,1,41,7,1,0
"592",592,1,1,56,5,1,1
"593",593,0,1,45,7,1,0
"594",594,0,1,48,7,1,0
"595",595,0,1,50,9,0,0
"596",596,0,1,49,7,1,1
"597",597,0,1,45,10,0,0
"598",598,1,1,40,0,1,0
"599",599,1,1,44,10,0,0
"600",600,1,1,41,10,0,0
"601",601,1,1,43,2,1,1
"602",602,0,1,37,0,1,0
"603",603,1,1,47,0,1,1
"604",604,1,1,45,3,1,1
"605",605,1,1,36,5,1,0
"606",606,0,1,42,4,1,0
"607",607,1,1,43,0,1,0
"608",608,0,1,47,10,0,0
"609",609,0,1,51,7,1,0
"610",610,1,1,39,3,1,0
"611",611,0,1,55,8,0,0
"612",612,1,0,47,0,1,0
"613",613,0,0,45,0,1,0
"614",614,0,1,49,7,1,1
"615",615,0,1,42,4,1,0
"616",616,1,1,43,5,1,0
"617",617,1,0,41,0,1,1
"618",618,1,1,30,5,1,1
"619",619,0,1,52,2,1,1
"620",620,1,1,49,0,1,0
"621",621,0,1,41,3,1,1
"622",622,0,0,35,0,1,0
"623",623,1,1,50,9,0,0
"624",624,1,1,48,0,1,0
"625",625,1,0,48,0,1,0
"626",626,0,1,42,5,1,1
"627",627,1,1,40,9,0,1
"628",628,0,1,54,4,1,0
"629",629,1,1,50,5,1,0
"630",630,1,1,49,3,1,0
"631",631,0,1,46,0,1,0
"632",632,0,1,51,7,1,1
"633",633,1,1,42,9,0,0
"634",634,1,1,65,5,1,1
"635",635,1,1,36,8,1,0
"636",636,1,1,37,5,1,1
"637",637,1,0,52,0,1,0
"638",638,0,1,36,0,1,0
"639",639,0,0,45,8,0,0
"640",640,1,1,57,4,1,0
"641",641,1,1,43,5,1,0
"642",642,0,1,60,10,0,0
"643",643,0,1,47,9,0,0
"644",644,1,1,53,10,0,0
"645",645,0,1,38,0,1,0
"646",646,1,1,39,3,1,0
"647",647,1,1,40,0,1,1
"648",648,0,1,43,0,1,0
"649",649,0,1,42,7,1,0
"650",650,1,1,42,10,0,0
"651",651,0,1,47,8,0,0
"652",652,1,1,51,5,1,0
"653",653,0,1,39,9,0,0
"654",654,0,1,34,10,0,0
"655",655,0,1,40,7,1,0
"656",656,1,1,47,5,1,0
"657",657,0,1,35,10,0,1
"658",658,0,1,39,2,1,0
"659",659,1,1,49,7,1,1
"660",660,1,1,50,9,0,0
"661",661,1,1,41,8,0,0
"662",662,1,1,43,7,1,0
"663",663,0,1,38,10,0,0
"664",664,0,1,55,2,1,1
"665",665,0,1,35,0,1,1
"666",666,1,1,44,2,1,1
"667",667,0,1,46,0,1,1
"668",668,1,1,43,5,1,1
"669",669,0,1,58,4,1,1
"670",670,0,1,51,10,0,0
"671",671,1,1,47,0,1,0
"672",672,1,1,45,7,1,0
"673",673,1,1,56,0,1,0
"674",674,1,0,52,0,1,0
"675",675,1,1,50,10,0,0
"676",676,1,1,45,4,1,0
"677",677,1,1,35,3,1,1
"678",678,0,1,41,2,1,0
"679",679,1,1,52,0,1,1
"680",680,1,1,37,4,1,0
"681",681,0,1,46,5,1,0
"682",682,1,1,44,5,1,0
"683",683,1,1,48,8,0,0
"684",684,0,1,45,0,1,0
"685",685,0,1,52,5,1,0
"686",686,0,1,34,9,0,0
"687",687,0,1,43,8,1,0
"688",688,0,1,37,10,0,0
"689",689,1,0,39,8,0,0
"690",690,0,0,48,0,1,1
"691",691,0,1,49,0,1,1
"692",692,0,1,35,7,1,0
"693",693,1,1,49,7,1,0
"694",694,1,1,46,0,1,0
"695",695,0,1,50,2,1,0
"696",696,0,1,54,0,1,1
"697",697,0,1,50,9,0,0
"698",698,1,1,42,0,1,1
"699",699,1,1,44,0,1,1
"700",700,0,1,41,4,1,0
"701",701,1,1,50,5,1,0
"702",702,0,1,36,5,1,0
"703",703,0,1,45,9,0,0
"704",704,1,1,40,0,1,1
"705",705,1,1,47,4,1,0
"706",706,1,1,49,8,0,0
"707",707,1,0,41,0,1,1
"708",708,0,1,40,10,0,0
"709",709,0,1,51,10,0,0
"710",710,1,1,48,5,1,1
"711",711,1,1,50,5,1,0
"712",712,0,0,57,2,1,0
"713",713,0,1,52,0,1,1
"714",714,0,1,44,0,1,0
"715",715,1,1,57,5,1,0
"716",716,1,1,47,5,1,1
"717",717,0,1,51,10,0,0
"718",718,1,1,50,8,0,0
"719",719,1,1,52,0,1,1
"720",720,0,0,38,0,1,1
"721",721,1,1,47,7,1,1
"722",722,1,1,50,7,1,1
"723",723,0,0,39,0,1,0
"724",724,1,1,48,9,0,0
"725",725,0,1,31,8,0,0
"726",726,1,1,33,5,1,1
"727",727,0,1,44,7,1,0
"728",728,0,1,51,4,1,0
"729",729,0,1,37,0,1,1
"730",730,0,0,58,8,0,0
"731",731,1,1,48,3,1,1
"732",732,1,1,55,2,1,1
"733",733,1,1,40,0,1,0
"734",734,0,1,46,9,0,0
"735",735,0,1,47,10,0,0
"736",736,0,0,49,0,1,0
"737",737,1,1,44,5,1,0
"738",738,0,1,53,5,1,0
"739",739,0,1,41,0,1,0
"740",740,0,1,47,10,0,0
"741",741,1,0,49,2,1,0
"742",742,0,1,49,0,1,0
"743",743,0,1,45,0,1,1
"744",744,0,1,48,0,1,0
"745",745,0,1,58,4,1,0
"746",746,0,1,43,0,1,0
"747",747,0,1,42,3,1,0
"748",748,1,1,37,5,1,0
"749",749,1,1,36,0,1,1
"750",750,0,1,50,8,0,0
"751",751,1,1,44,3,1,1
"752",752,0,1,48,10,0,0
"753",753,0,1,46,8,0,0
"754",754,1,1,48,10,0,0
"755",755,0,1,61,10,0,0
"756",756,1,1,45,9,0,0
"757",757,1,0,44,0,1,0
"758",758,1,1,44,0,1,0
"759",759,1,1,64,0,1,1
"760",760,0,1,43,10,0,0
"761",761,1,1,40,2,1,1
"762",762,0,0,50,8,0,1
"763",763,0,1,43,9,0,1
"764",764,1,1,42,9,0,0
"765",765,1,1,49,3,1,1
"766",766,0,1,55,7,1,0
"767",767,1,1,31,3,1,0
"768",768,0,1,61,0,1,1
"769",769,1,1,36,9,0,0
"770",770,0,1,42,3,1,0
"771",771,0,1,48,4,1,1
"772",772,1,1,51,0,1,0
"773",773,1,1,45,10,0,0
"774",774,0,0,34,0,1,1
"775",775,1,1,32,4,1,1
"776",776,0,1,60,2,1,0
"777",777,0,1,61,0,1,1
"778",778,1,1,46,4,1,0
"779",779,1,1,40,10,0,0
"780",780,1,1,52,9,0,0
"781",781,1,1,48,5,1,0
"782",782,1,1,43,8,0,0
"783",783,0,1,43,3,1,0
"784",784,1,1,49,8,0,0
"785",785,0,1,44,7,1,1
"786",786,0,1,39,0,1,0
"787",787,1,1,52,0,1,1
"788",788,1,1,41,8,1,0
"789",789,1,1,52,0,1,1
"790",790,0,1,51,7,1,0
"791",791,0,1,43,7,1,0
"792",792,1,1,43,0,1,1
"793",793,1,1,38,10,0,1
"794",794,1,1,47,10,0,0
"795",795,1,1,42,0,1,1
"796",796,1,1,60,8,0,0
"797",797,1,1,47,4,1,0
"798",798,0,1,48,10,0,0
"799",799,1,1,52,9,0,0
"800",800,0,0,39,0,1,0
"801",801,1,1,39,2,1,0
"802",802,1,1,38,3,1,0
"803",803,1,1,44,3,1,0
"804",804,0,1,47,3,1,0
"805",805,0,1,47,0,1,0
"806",806,1,1,47,10,0,0
"807",807,1,1,43,0,1,1
"808",808,0,1,60,0,1,1
"809",809,1,0,48,8,0,0
"810",810,0,1,57,0,1,1
"811",811,0,1,42,3,1,0
"812",812,0,1,42,8,0,1
"813",813,1,1,40,9,0,0
"814",814,0,1,61,10,0,0
"815",815,1,1,49,5,1,1
"816",816,1,1,39,5,1,0
"817",817,0,1,52,0,1,0
"818",818,1,0,58,5,1,0
"819",819,0,1,49,0,1,0
"820",820,1,1,43,0,1,0
