"MEDV","LSTAT","DIS"
20.6,8.51,"4.8122"
19,9.74,"4.8122"
18.7,9.29,"4.8122"
32.7,5.49,"7.0379"
16.5,8.65,"6.2669"
23.9,7.18,"5.7321"
31.2,4.61,"6.4654"
17.5,10.53,"8.0136"
17.2,12.67,"8.0136"
23.1,6.36,"8.5353"
24.5,5.99,"8.3440"
26.6,5.89,"8.7921"
22.9,5.98,"8.7921"
24.1,5.49,"0.7103"
18.6,7.79,"0.7103"
30.1,4.5,"2.1265"
18.2,8.05,"0.5857"
20.6,5.57,"0.5857"
17.8,17.6,"2.1222  2"
21.7,13.27,"2.5052  2"
22.7,11.48,"2.7227  2"
22.6,12.67,"2.5091  2"
25,7.79,"2.5182  2"
19.9,14.19,"2.2955  2"
20.8,10.19,"2.1036  2"
16.8,14.64,"1.9047  2"
21.9,5.29,"1.9047  2"
27.5,7.12,"1.6132  2"
21.9,14,"1.7523  2"
23.1,13.33,"1.5106  2"
50,3.26,"1.3325  2"
50,3.73,"1.3567  2"
50,2.96,"1.2024  2"
50,9.53,"1.1691  2"
50,8.88,"1.1296  2"
13.8,34.77,"1.1742  2"
13.8,37.97,"1.1370  2"
15,13.44,"1.3163  2"
13.9,23.24,"1.3449  2"
13.3,21.24,"1.3580  2"
13.1,23.69,"1.3861  2"
10.2,21.78,"1.3861  2"
10.4,17.21,"1.4165  2"
10.9,21.08,"1.5192  2"
11.3,23.6,"1.5804  2"
12.3,24.56,"1.5331  2"
8.8,30.63,"1.4395  2"
7.2,30.81,"1.4261  2"
10.5,28.28,"1.4672  2"
7.4,31.99,"1.5184  2"
10.2,30.62,"1.5895  2"
11.5,20.85,"1.7281  2"
15.1,17.11,"1.9265  2"
23.2,18.76,"2.1678  2"
9.7,25.68,"1.7700  2"
13.8,15.17,"1.7912  2"
12.7,16.35,"1.7821  2"
13.1,17.12,"1.7257  2"
12.5,19.37,"1.6768  2"
8.5,19.92,"1.6334  2"
5,30.59,"1.4896  2"
6.3,29.97,"1.5004  2"
5.6,26.77,"1.5888  2"
7.2,20.32,"1.5741  2"
12.1,20.31,"1.6390  2"
8.3,19.77,"1.7028  2"
8.5,27.38,"1.6074  2"
5,22.98,"1.4254  2"
11.9,23.34,"1.1781  2"
27.9,12.13,"1.2852  2"
17.2,26.4,"1.4547  2"
27.5,19.78,"1.4655  2"
15,10.11,"1.4130  2"
17.2,21.22,"1.5275  2"
17.9,34.37,"1.5539  2"
16.3,20.08,"1.5894  2"
7,36.98,"1.6582  2"
7.2,29.05,"1.8347  2"
7.5,25.79,"1.8195  2"
10.4,26.64,"1.6475  2"
8.8,20.62,"1.8026  2"
8.4,22.74,"1.7940  2"
16.7,15.02,"1.8589  2"
14.2,15.7,"1.8746  2"
20.8,14.1,"1.9512  2"
13.4,23.29,"2.0218  2"
11.7,17.16,"2.0635  2"
8.3,24.39,"1.9096  2"
10.2,15.69,"1.9976  2"
10.9,14.52,"1.8629  2"
11,21.52,"1.9356  2"
9.5,24.08,"1.9682  2"
14.5,17.64,"2.0527  2"
14.1,19.69,"2.0882  2"
16.1,12.03,"2.2004  2"
14.3,16.22,"2.3158  2"
11.7,15.17,"2.2222  2"
13.4,23.27,"2.1247  2"
9.6,18.05,"2.0026  2"
8.7,26.45,"1.9142  2"
8.4,34.02,"1.8206  2"
12.8,22.88,"1.8172  2"
10.5,22.11,"1.8662  2"
17.1,19.52,"2.0651  2"
18.4,16.59,"2.0048  2"
15.4,18.85,"1.9784  2"
10.8,23.79,"1.8956  2"
11.8,23.98,"1.9879  2"
14.9,17.79,"2.0720  2"
12.6,16.44,"2.1980  2"
14.1,18.13,"2.2616  2"
13,19.31,"2.1850  2"
13.4,17.44,"2.3236  2"
15.2,17.73,"2.3552  2"
16.1,17.27,"2.3682  2"
17.8,16.74,"2.4527  2"
14.9,18.71,"2.4961  2"
14.1,18.13,"2.4358  2"
12.7,19.01,"2.5806  2"
13.5,16.94,"2.7792  2"
14.9,16.23,"2.7831  2"
20,14.7,"2.7175  2"
16.4,16.42,"2.5975  2"
17.7,14.65,"2.5671  2"
19.5,13.99,"2.7344  2"
20.2,10.29,"2.8016  2"
21.4,13.22,"2.9634  2"
19.9,14.13,"3.0665  2"
19,17.15,"2.8715  2"
19.1,21.32,"2.5403  2"
19.1,18.13,"2.9084  2"
20.1,14.76,"2.8237  2"
19.9,16.29,"3.0334  2"
19.6,12.87,"3.0993  2"
23.2,14.36,"2.8965  2"
29.8,11.66,"2.5329  2"
13.8,18.14,"2.4298  2"
13.3,24.1,"2.2060  2"
16.7,18.68,"2.3053  2"
12,24.91,"2.1007  2"
14.6,18.03,"2.1705  2"
21.4,13.11,"1.9512  2"
23,10.74,"3.4242  2"
23.7,7.74,"3.3317  2"
25,7.01,"3.4106  2"
21.8,10.42,"4.0983  2"
20.6,13.34,"3.7240  2"
21.2,10.58,"3.9917  2"
19.1,14.98,"3.5459  2"
20.6,11.45,"3.1523  2"
15.2,18.06,"1.8209"
7,23.97,"1.7554"
8.1,29.68,"1.8226"
13.6,18.07,"1.8681"
20.1,13.35,"2.1099"
21.8,12.01,"2.3817"
24.5,13.59,"2.3817"
23.1,17.6,"2.7986"
19.7,21.14,"2.7986"
18.3,14.1,"2.8927"
21.2,12.92,"2.4091"
17.5,15.1,"2.3999"
16.8,14.33,"2.4982"
22.4,9.67,"2.4786"
20.6,9.08,"2.2875"
23.9,5.64,"2.1675"
22,6.48,"2.3889"
11.9,7.88,"2.5050"
