id,female,city,age,logins,mandalorian,unsubscribe
97,no,yes,45,7,yes,stay
98,yes,yes,51,7,yes,stay
99,yes,yes,43,3,yes,stay
100,no,yes,53,7,yes,stay
101,yes,yes,29,5,yes,stay
102,yes,yes,44,2,yes,stay
103,yes,yes,49,3,yes,stay
104,yes,yes,44,8,no,stay
105,no,yes,45,3,yes,stay
106,no,yes,44,5,yes,unsubscribe
107,no,yes,41,8,yes,stay
108,no,yes,53,4,yes,stay
109,yes,yes,46,10,no,stay
110,no,yes,36,3,yes,stay
111,no,yes,42,0,yes,stay
112,no,no,52,0,yes,stay
113,yes,yes,53,0,yes,unsubscribe
114,yes,yes,56,0,yes,stay
115,no,yes,44,7,yes,stay
116,yes,yes,52,0,yes,unsubscribe
117,no,no,48,0,yes,unsubscribe
118,no,yes,46,5,yes,unsubscribe
119,yes,no,47,0,yes,stay
120,no,yes,55,0,yes,unsubscribe
121,yes,yes,42,0,yes,unsubscribe
122,yes,yes,53,5,yes,stay
123,yes,yes,42,10,no,stay
124,no,no,44,0,yes,stay
125,yes,yes,48,0,yes,unsubscribe
126,yes,yes,42,10,no,stay
127,no,yes,54,3,yes,unsubscribe
128,no,yes,35,5,yes,stay
129,no,yes,52,8,no,unsubscribe
130,yes,yes,39,10,no,stay
131,yes,yes,43,7,yes,stay
132,no,yes,37,8,yes,stay
133,no,no,46,0,yes,unsubscribe
134,yes,yes,45,3,yes,stay
135,no,yes,55,7,yes,stay
136,yes,yes,53,0,yes,stay
137,yes,yes,49,5,yes,unsubscribe
138,yes,yes,42,7,yes,unsubscribe
139,yes,yes,44,8,yes,unsubscribe
140,no,yes,36,9,no,stay
141,no,yes,41,10,no,stay
142,yes,yes,42,7,yes,unsubscribe
143,yes,yes,58,0,yes,stay
144,no,yes,52,5,yes,stay
145,yes,no,46,0,yes,unsubscribe
146,no,no,49,8,no,unsubscribe
147,no,yes,58,0,yes,stay
148,yes,yes,47,5,yes,stay
149,yes,yes,43,0,yes,stay
150,yes,yes,38,8,no,unsubscribe
151,no,yes,48,10,no,stay
152,no,yes,36,3,yes,unsubscribe
153,yes,yes,44,2,yes,stay
154,yes,yes,54,8,yes,unsubscribe
155,no,yes,45,8,no,stay
156,no,yes,61,0,yes,stay
157,no,yes,39,3,yes,stay
158,no,yes,39,0,yes,unsubscribe
159,yes,yes,51,0,yes,unsubscribe
160,no,yes,41,0,yes,stay
161,no,no,43,0,yes,stay
162,no,yes,42,9,no,stay
163,yes,yes,47,10,no,stay
164,yes,yes,50,0,yes,unsubscribe
165,yes,yes,41,5,yes,stay
166,yes,yes,39,0,yes,stay
167,yes,yes,50,0,yes,unsubscribe
168,no,yes,41,5,yes,stay
169,no,yes,56,3,yes,unsubscribe
170,no,yes,41,7,yes,unsubscribe
171,yes,yes,38,5,yes,stay
172,yes,no,39,9,no,unsubscribe
173,no,no,51,8,no,unsubscribe
174,no,yes,41,10,no,unsubscribe
175,no,yes,53,0,yes,stay
176,yes,yes,54,5,yes,stay
177,no,yes,45,0,yes,unsubscribe
178,no,yes,55,5,yes,stay
179,yes,no,39,0,yes,stay
180,no,yes,33,5,yes,stay
181,yes,yes,47,10,no,stay
182,no,yes,50,0,yes,unsubscribe
183,no,no,38,0,yes,unsubscribe
184,no,yes,56,7,yes,unsubscribe
185,yes,yes,51,5,yes,stay
186,yes,yes,41,5,yes,stay
187,yes,yes,35,2,yes,unsubscribe
188,yes,yes,46,3,yes,unsubscribe
189,yes,yes,47,0,yes,stay
190,no,yes,50,4,yes,stay
191,no,no,33,0,yes,stay
192,yes,yes,52,5,yes,stay
193,yes,yes,46,10,no,stay
194,no,no,42,0,yes,stay
195,no,yes,52,3,yes,unsubscribe
196,yes,yes,47,0,yes,unsubscribe
197,yes,yes,38,9,no,stay
198,no,yes,49,3,yes,stay
199,yes,yes,49,4,yes,stay
200,no,yes,46,10,no,stay
201,yes,yes,37,5,yes,unsubscribe
202,no,yes,46,7,yes,stay
203,no,yes,42,10,no,unsubscribe
204,no,no,47,0,yes,stay
205,yes,yes,50,10,no,stay
206,no,yes,43,0,yes,unsubscribe
207,no,yes,35,2,yes,stay
208,no,yes,33,10,no,stay
209,yes,yes,39,0,yes,unsubscribe
210,yes,yes,49,7,yes,stay
211,yes,yes,46,10,no,stay
212,no,yes,42,2,yes,unsubscribe
213,yes,yes,37,9,no,stay
214,yes,yes,53,0,yes,stay
215,yes,no,40,8,no,stay
216,no,yes,42,0,yes,stay
217,no,yes,45,0,yes,stay
218,no,yes,44,0,yes,unsubscribe
219,yes,no,54,0,yes,unsubscribe
220,yes,yes,44,0,yes,stay
221,no,no,41,0,yes,stay
222,yes,yes,43,9,no,stay
223,no,no,56,8,no,stay
224,no,yes,42,0,yes,unsubscribe
225,yes,yes,58,3,yes,unsubscribe
226,no,yes,47,8,no,stay
227,yes,no,47,0,yes,stay
228,yes,yes,47,10,no,stay
229,yes,yes,48,5,yes,unsubscribe
230,yes,yes,39,10,no,stay
231,no,yes,50,3,yes,stay
232,yes,yes,55,3,yes,stay
233,no,yes,34,10,no,stay
234,no,yes,46,5,yes,unsubscribe
235,yes,yes,45,0,yes,stay
236,yes,yes,45,10,no,stay
237,yes,yes,45,5,yes,stay
238,no,yes,38,0,yes,stay
239,no,yes,41,5,yes,stay
240,no,yes,49,3,yes,stay
241,yes,yes,45,3,yes,stay
242,no,yes,45,2,yes,stay
243,no,yes,55,10,no,stay
244,no,yes,48,5,yes,stay
245,yes,yes,35,10,no,stay
246,no,yes,41,10,no,stay
247,no,no,47,8,no,unsubscribe
248,yes,yes,39,8,no,stay
249,yes,yes,42,5,yes,stay
250,yes,yes,40,2,yes,stay
251,yes,yes,42,7,yes,stay
252,no,yes,44,8,no,stay
253,yes,yes,47,3,yes,stay
254,yes,no,47,0,yes,unsubscribe
255,no,yes,51,10,no,stay
256,no,yes,41,10,no,stay
257,yes,yes,34,0,yes,stay
258,yes,yes,51,10,no,stay
259,no,yes,47,7,yes,stay
260,no,yes,64,7,yes,stay
261,yes,yes,52,8,no,stay
262,no,yes,46,10,no,stay
263,yes,yes,56,9,no,stay
264,no,yes,44,10,no,stay
265,no,yes,29,5,yes,stay
266,no,yes,46,7,yes,stay
267,yes,yes,58,0,yes,stay
268,yes,yes,37,5,yes,stay
269,no,yes,44,9,no,stay
270,no,yes,36,5,yes,stay
271,no,no,42,0,yes,stay
272,no,yes,43,3,yes,unsubscribe
273,yes,yes,44,3,yes,unsubscribe
274,yes,yes,37,0,yes,stay
275,no,no,41,0,yes,stay
276,no,yes,59,4,yes,stay
277,yes,yes,42,5,yes,stay
278,yes,yes,43,5,yes,stay
279,no,yes,57,10,no,stay
280,yes,yes,43,10,no,stay
281,yes,yes,49,10,no,stay
282,yes,yes,41,2,yes,stay
283,yes,yes,72,8,yes,stay
284,yes,yes,34,0,yes,stay
285,no,no,45,8,no,stay
286,no,yes,44,10,no,stay
287,no,yes,39,7,yes,stay
288,no,yes,42,4,yes,unsubscribe
289,yes,yes,51,2,yes,unsubscribe
290,yes,yes,35,5,yes,stay
291,yes,no,50,0,yes,stay
292,no,yes,38,4,yes,stay
293,yes,yes,51,2,yes,stay
294,no,yes,47,4,yes,unsubscribe
295,yes,yes,45,2,yes,stay
296,yes,no,45,0,yes,stay
297,no,yes,48,10,no,stay
298,no,yes,39,10,no,stay
299,no,no,50,8,no,stay
300,no,no,52,9,no,stay
301,no,no,41,8,no,unsubscribe
302,no,yes,37,10,no,stay
303,no,yes,40,2,yes,stay
304,no,yes,38,4,yes,stay
305,yes,yes,47,0,yes,stay
306,no,no,37,0,yes,stay
307,yes,yes,45,0,yes,stay
308,no,yes,51,9,no,stay
309,no,yes,47,5,yes,stay
310,no,yes,50,5,yes,stay
311,yes,yes,41,10,no,stay
312,no,yes,48,5,yes,stay
313,yes,yes,42,9,no,stay
314,yes,yes,37,0,yes,stay
315,yes,yes,45,5,yes,stay
316,no,yes,37,5,yes,unsubscribe
317,no,no,58,0,yes,stay
318,no,yes,40,0,yes,unsubscribe
319,no,yes,43,8,no,stay
320,no,no,47,0,yes,stay
321,yes,yes,34,0,yes,stay
322,no,yes,51,8,no,stay
323,no,yes,44,8,yes,stay
324,no,yes,43,10,no,stay
325,yes,no,43,7,no,stay
326,no,yes,35,2,yes,stay
327,no,yes,51,5,yes,stay
328,no,yes,47,8,yes,unsubscribe
329,no,yes,51,10,no,stay
330,no,yes,51,8,yes,unsubscribe
331,yes,yes,58,8,no,stay
332,yes,yes,39,3,yes,stay
333,yes,yes,34,5,yes,unsubscribe
334,no,yes,58,5,yes,stay
335,yes,yes,54,0,yes,unsubscribe
336,yes,yes,49,4,yes,stay
337,no,yes,48,3,yes,stay
338,yes,yes,46,3,yes,stay
339,no,no,37,0,yes,stay
340,no,yes,53,0,yes,stay
341,no,yes,41,9,no,stay
342,yes,yes,54,10,no,unsubscribe
343,no,yes,41,5,yes,unsubscribe
344,yes,yes,46,0,yes,stay
345,yes,yes,51,0,yes,stay
346,yes,yes,42,10,no,stay
347,no,yes,35,5,yes,unsubscribe
348,no,yes,44,5,yes,unsubscribe
349,yes,yes,39,7,yes,stay
350,no,yes,48,0,yes,unsubscribe
351,yes,yes,41,4,yes,unsubscribe
352,yes,yes,38,10,no,stay
353,no,yes,44,9,no,stay
354,yes,yes,41,8,no,stay
355,yes,yes,55,8,yes,stay
356,yes,no,37,0,yes,stay
357,no,no,51,0,yes,stay
358,yes,yes,48,10,no,stay
359,no,yes,40,10,no,stay
360,yes,yes,49,0,yes,stay
361,yes,yes,42,7,yes,stay
362,yes,yes,43,7,yes,stay
363,no,yes,51,9,no,stay
364,yes,yes,40,0,yes,stay
365,no,yes,41,0,yes,stay
366,no,yes,49,2,yes,stay
367,yes,yes,50,3,yes,stay
368,yes,no,62,9,no,stay
369,no,yes,47,0,yes,stay
370,no,yes,41,0,yes,stay
371,no,yes,48,7,yes,stay
372,no,yes,51,0,yes,unsubscribe
373,yes,yes,37,5,yes,stay
374,yes,no,33,0,yes,stay
375,yes,yes,52,5,yes,unsubscribe
376,yes,yes,37,10,no,stay
377,yes,yes,42,5,yes,stay
378,yes,yes,39,0,yes,stay
379,yes,yes,38,7,yes,stay
380,no,yes,30,10,no,stay
381,yes,yes,37,0,yes,stay
382,yes,yes,26,5,yes,stay
383,yes,yes,42,5,yes,stay
384,yes,yes,39,0,yes,unsubscribe
385,no,no,36,0,yes,unsubscribe
386,no,yes,45,5,yes,stay
387,yes,yes,37,5,yes,stay
388,no,yes,53,10,no,stay
389,no,no,54,0,yes,unsubscribe
390,no,no,43,5,yes,unsubscribe
391,yes,yes,49,9,no,stay
392,yes,yes,50,4,yes,stay
393,no,yes,49,4,yes,unsubscribe
394,yes,yes,54,4,yes,stay
395,no,no,44,0,yes,stay
396,no,yes,49,9,no,stay
397,yes,yes,57,3,yes,stay
398,yes,no,54,0,yes,stay
399,no,no,42,0,yes,stay
400,yes,yes,45,9,no,stay
401,no,yes,35,10,no,stay
402,yes,yes,41,5,yes,stay
403,yes,yes,64,3,yes,stay
404,yes,yes,47,0,yes,stay
405,no,yes,49,9,no,stay
406,no,yes,36,2,yes,stay
407,no,yes,49,2,yes,unsubscribe
408,no,yes,44,7,yes,stay
409,no,yes,37,7,yes,stay
410,yes,yes,48,10,no,stay
411,yes,no,43,3,yes,unsubscribe
412,no,yes,42,0,yes,unsubscribe
413,yes,yes,51,5,yes,unsubscribe
414,no,yes,55,9,no,unsubscribe
415,yes,yes,44,0,yes,unsubscribe
416,no,no,41,0,yes,stay
417,yes,no,52,0,yes,unsubscribe
418,no,yes,45,8,no,stay
419,no,yes,54,10,no,stay
420,no,yes,50,7,yes,stay
421,no,yes,43,4,yes,stay
422,no,yes,54,0,yes,unsubscribe
423,no,yes,45,0,yes,unsubscribe
424,no,yes,33,4,yes,unsubscribe
425,yes,yes,48,3,yes,stay
426,yes,no,36,0,yes,stay
427,yes,yes,39,0,yes,stay
428,no,yes,48,5,yes,unsubscribe
429,yes,no,52,8,no,stay
430,yes,yes,48,7,yes,stay
431,no,yes,46,10,no,stay
432,yes,yes,60,10,no,unsubscribe
433,yes,yes,54,10,no,stay
434,yes,yes,39,5,yes,stay
435,yes,yes,46,2,yes,stay
436,no,no,52,0,yes,stay
437,no,yes,50,9,no,unsubscribe
438,no,yes,43,8,no,stay
439,yes,yes,51,10,no,stay
440,no,yes,47,3,yes,stay
441,yes,yes,44,4,yes,stay
442,yes,yes,28,10,no,stay
443,yes,yes,48,0,yes,stay
444,no,yes,45,8,yes,stay
445,no,yes,51,8,no,unsubscribe
446,no,no,38,0,yes,stay
447,no,yes,49,3,yes,stay
448,yes,yes,37,10,no,stay
449,no,yes,51,0,yes,stay
450,yes,no,43,7,no,stay
451,yes,yes,47,0,yes,unsubscribe
452,no,yes,39,5,yes,stay
453,no,no,44,0,yes,stay
454,no,yes,44,10,no,stay
455,yes,yes,40,3,yes,stay
456,no,no,43,8,no,stay
457,no,yes,40,9,no,stay
458,no,no,35,0,yes,stay
459,yes,no,34,0,yes,stay
460,yes,yes,46,5,yes,stay
461,no,yes,47,10,no,stay
462,no,no,46,0,yes,unsubscribe
463,no,yes,38,7,yes,unsubscribe
464,no,yes,58,7,yes,stay
465,yes,yes,50,10,no,stay
466,no,no,56,2,yes,stay
467,yes,yes,37,9,no,stay
468,yes,yes,42,0,yes,unsubscribe
469,yes,yes,49,9,no,stay
470,yes,yes,45,7,yes,stay
471,yes,yes,38,0,yes,unsubscribe
472,yes,yes,43,10,no,stay
473,yes,yes,52,10,no,unsubscribe
474,yes,yes,52,2,yes,stay
475,no,yes,40,5,yes,stay
476,no,yes,49,10,no,stay
477,no,yes,53,7,yes,stay
478,no,no,49,0,yes,stay
479,no,yes,48,4,yes,unsubscribe
480,no,yes,56,0,yes,stay
481,yes,yes,40,7,yes,stay
482,yes,yes,51,7,yes,stay
483,no,no,42,0,yes,stay
484,yes,yes,50,10,no,stay
485,yes,yes,39,9,no,stay
486,yes,yes,51,3,yes,stay
487,yes,yes,49,7,yes,stay
488,no,no,44,0,yes,unsubscribe
489,no,yes,56,9,no,stay
490,yes,yes,46,10,no,unsubscribe
491,no,yes,45,10,no,stay
492,yes,yes,40,5,yes,stay
493,yes,yes,38,4,yes,stay
494,yes,yes,36,10,no,stay
495,yes,no,47,9,no,stay
496,no,yes,48,5,yes,unsubscribe
497,yes,yes,48,10,no,stay
498,yes,yes,43,10,no,stay
499,no,yes,54,4,yes,stay
500,yes,yes,43,0,yes,unsubscribe
501,yes,yes,42,3,yes,unsubscribe
502,no,yes,47,3,yes,stay
503,yes,yes,41,4,yes,stay
504,yes,yes,51,5,yes,stay
505,yes,yes,40,8,no,stay
506,yes,no,40,0,yes,stay
507,no,yes,53,3,yes,stay
508,yes,yes,39,0,yes,stay
509,no,no,43,0,yes,unsubscribe
510,no,yes,42,3,yes,stay
511,yes,yes,50,0,yes,stay
512,yes,no,61,0,yes,unsubscribe
513,yes,yes,50,3,yes,stay
514,yes,yes,37,4,yes,stay
515,no,yes,39,0,yes,unsubscribe
516,yes,yes,51,0,yes,stay
517,yes,no,47,8,no,stay
518,yes,yes,47,10,no,stay
519,yes,yes,54,10,no,stay
520,no,no,45,0,yes,unsubscribe
521,no,yes,44,3,yes,stay
522,no,yes,43,0,yes,stay
523,no,no,49,0,yes,unsubscribe
524,no,no,40,4,yes,stay
525,yes,yes,52,0,yes,unsubscribe
526,yes,yes,38,7,yes,stay
527,no,yes,58,9,no,unsubscribe
528,no,yes,48,10,no,stay
529,no,yes,39,3,yes,stay
530,yes,yes,39,4,yes,unsubscribe
531,no,yes,43,7,yes,unsubscribe
532,no,yes,51,0,yes,unsubscribe
533,no,yes,49,8,yes,stay
534,no,yes,45,4,yes,stay
535,yes,no,51,0,yes,stay
536,yes,yes,48,0,yes,unsubscribe
537,yes,yes,39,5,yes,stay
538,no,yes,49,5,yes,stay
539,no,yes,38,10,no,unsubscribe
540,no,yes,45,0,yes,stay
541,no,yes,39,4,yes,stay
542,no,yes,49,10,no,unsubscribe
543,no,yes,41,0,yes,stay
544,no,yes,47,2,yes,stay
545,no,yes,34,0,yes,stay
546,no,yes,43,7,yes,stay
547,yes,yes,52,5,yes,unsubscribe
548,no,yes,51,0,yes,stay
549,no,yes,37,7,yes,stay
550,no,no,66,8,no,stay
551,yes,yes,46,5,yes,stay
552,no,yes,44,10,no,stay
553,yes,yes,60,8,no,stay
554,no,yes,36,0,yes,unsubscribe
555,no,no,46,0,yes,unsubscribe
556,no,yes,44,7,yes,stay
557,no,yes,46,0,yes,stay
558,yes,yes,44,3,yes,stay
559,yes,yes,45,3,yes,unsubscribe
560,yes,no,37,8,no,stay
561,no,yes,32,0,yes,unsubscribe
562,yes,yes,35,5,yes,stay
563,no,yes,45,10,no,stay
564,no,yes,35,5,yes,stay
565,no,yes,41,10,no,stay
566,yes,yes,42,4,yes,stay
567,no,yes,50,0,yes,unsubscribe
568,no,yes,46,5,yes,stay
569,no,no,57,8,no,stay
570,no,yes,26,3,yes,unsubscribe
571,no,yes,37,10,no,stay
572,yes,yes,39,5,yes,stay
573,no,yes,53,10,no,stay
574,yes,no,41,3,yes,stay
575,yes,yes,56,0,yes,unsubscribe
576,yes,yes,49,7,yes,stay
577,no,yes,57,3,yes,unsubscribe
578,yes,no,43,0,yes,stay
579,no,no,53,8,no,stay
580,yes,yes,48,5,yes,unsubscribe
581,no,yes,40,5,yes,stay
582,no,yes,47,0,yes,unsubscribe
583,yes,no,50,8,no,stay
584,no,no,48,8,no,stay
585,yes,yes,51,5,yes,unsubscribe
586,no,yes,49,0,yes,unsubscribe
587,no,no,59,0,yes,stay
588,no,yes,46,3,yes,stay
589,yes,yes,42,4,yes,stay
590,no,no,36,0,yes,stay
591,yes,yes,41,7,yes,stay
592,yes,yes,56,5,yes,unsubscribe
593,no,yes,45,7,yes,stay
594,no,yes,48,7,yes,stay
595,no,yes,50,9,no,stay
596,no,yes,49,7,yes,unsubscribe
597,no,yes,45,10,no,stay
598,yes,yes,40,0,yes,stay
599,yes,yes,44,10,no,stay
600,yes,yes,41,10,no,stay
601,yes,yes,43,2,yes,unsubscribe
602,no,yes,37,0,yes,stay
603,yes,yes,47,0,yes,unsubscribe
604,yes,yes,45,3,yes,unsubscribe
605,yes,yes,36,5,yes,stay
606,no,yes,42,4,yes,stay
607,yes,yes,43,0,yes,stay
608,no,yes,47,10,no,stay
609,no,yes,51,7,yes,stay
610,yes,yes,39,3,yes,stay
611,no,yes,55,8,no,stay
612,yes,no,47,0,yes,stay
613,no,no,45,0,yes,stay
614,no,yes,49,7,yes,unsubscribe
615,no,yes,42,4,yes,stay
616,yes,yes,43,5,yes,stay
617,yes,no,41,0,yes,unsubscribe
618,yes,yes,30,5,yes,unsubscribe
619,no,yes,52,2,yes,unsubscribe
620,yes,yes,49,0,yes,stay
621,no,yes,41,3,yes,unsubscribe
622,no,no,35,0,yes,stay
623,yes,yes,50,9,no,stay
624,yes,yes,48,0,yes,stay
625,yes,no,48,0,yes,stay
626,no,yes,42,5,yes,unsubscribe
627,yes,yes,40,9,no,unsubscribe
628,no,yes,54,4,yes,stay
629,yes,yes,50,5,yes,stay
630,yes,yes,49,3,yes,stay
631,no,yes,46,0,yes,stay
632,no,yes,51,7,yes,unsubscribe
633,yes,yes,42,9,no,stay
634,yes,yes,65,5,yes,unsubscribe
635,yes,yes,36,8,yes,stay
636,yes,yes,37,5,yes,unsubscribe
637,yes,no,52,0,yes,stay
638,no,yes,36,0,yes,stay
639,no,no,45,8,no,stay
640,yes,yes,57,4,yes,stay
641,yes,yes,43,5,yes,stay
642,no,yes,60,10,no,stay
643,no,yes,47,9,no,stay
644,yes,yes,53,10,no,stay
645,no,yes,38,0,yes,stay
646,yes,yes,39,3,yes,stay
647,yes,yes,40,0,yes,unsubscribe
648,no,yes,43,0,yes,stay
649,no,yes,42,7,yes,stay
650,yes,yes,42,10,no,stay
651,no,yes,47,8,no,stay
652,yes,yes,51,5,yes,stay
653,no,yes,39,9,no,stay
654,no,yes,34,10,no,stay
655,no,yes,40,7,yes,stay
656,yes,yes,47,5,yes,stay
657,no,yes,35,10,no,unsubscribe
658,no,yes,39,2,yes,stay
659,yes,yes,49,7,yes,unsubscribe
660,yes,yes,50,9,no,stay
661,yes,yes,41,8,no,stay
662,yes,yes,43,7,yes,stay
663,no,yes,38,10,no,stay
664,no,yes,55,2,yes,unsubscribe
665,no,yes,35,0,yes,unsubscribe
666,yes,yes,44,2,yes,unsubscribe
667,no,yes,46,0,yes,unsubscribe
668,yes,yes,43,5,yes,unsubscribe
669,no,yes,58,4,yes,unsubscribe
670,no,yes,51,10,no,stay
671,yes,yes,47,0,yes,stay
672,yes,yes,45,7,yes,stay
673,yes,yes,56,0,yes,stay
674,yes,no,52,0,yes,stay
675,yes,yes,50,10,no,stay
676,yes,yes,45,4,yes,stay
677,yes,yes,35,3,yes,unsubscribe
678,no,yes,41,2,yes,stay
679,yes,yes,52,0,yes,unsubscribe
680,yes,yes,37,4,yes,stay
681,no,yes,46,5,yes,stay
682,yes,yes,44,5,yes,stay
683,yes,yes,48,8,no,stay
684,no,yes,45,0,yes,stay
685,no,yes,52,5,yes,stay
686,no,yes,34,9,no,stay
687,no,yes,43,8,yes,stay
688,no,yes,37,10,no,stay
689,yes,no,39,8,no,stay
690,no,no,48,0,yes,unsubscribe
691,no,yes,49,0,yes,unsubscribe
692,no,yes,35,7,yes,stay
693,yes,yes,49,7,yes,stay
694,yes,yes,46,0,yes,stay
695,no,yes,50,2,yes,stay
696,no,yes,54,0,yes,unsubscribe
697,no,yes,50,9,no,stay
698,yes,yes,42,0,yes,unsubscribe
699,yes,yes,44,0,yes,unsubscribe
700,no,yes,41,4,yes,stay
701,yes,yes,50,5,yes,stay
702,no,yes,36,5,yes,stay
703,no,yes,45,9,no,stay
704,yes,yes,40,0,yes,unsubscribe
705,yes,yes,47,4,yes,stay
706,yes,yes,49,8,no,stay
707,yes,no,41,0,yes,unsubscribe
708,no,yes,40,10,no,stay
709,no,yes,51,10,no,stay
710,yes,yes,48,5,yes,unsubscribe
711,yes,yes,50,5,yes,stay
712,no,no,57,2,yes,stay
713,no,yes,52,0,yes,unsubscribe
714,no,yes,44,0,yes,stay
715,yes,yes,57,5,yes,stay
716,yes,yes,47,5,yes,unsubscribe
717,no,yes,51,10,no,stay
718,yes,yes,50,8,no,stay
719,yes,yes,52,0,yes,unsubscribe
720,no,no,38,0,yes,unsubscribe
721,yes,yes,47,7,yes,unsubscribe
722,yes,yes,50,7,yes,unsubscribe
723,no,no,39,0,yes,stay
724,yes,yes,48,9,no,stay
725,no,yes,31,8,no,stay
726,yes,yes,33,5,yes,unsubscribe
727,no,yes,44,7,yes,stay
728,no,yes,51,4,yes,stay
729,no,yes,37,0,yes,unsubscribe
730,no,no,58,8,no,stay
731,yes,yes,48,3,yes,unsubscribe
732,yes,yes,55,2,yes,unsubscribe
733,yes,yes,40,0,yes,stay
734,no,yes,46,9,no,stay
735,no,yes,47,10,no,stay
736,no,no,49,0,yes,stay
737,yes,yes,44,5,yes,stay
738,no,yes,53,5,yes,stay
739,no,yes,41,0,yes,stay
740,no,yes,47,10,no,stay
741,yes,no,49,2,yes,stay
742,no,yes,49,0,yes,stay
743,no,yes,45,0,yes,unsubscribe
744,no,yes,48,0,yes,stay
745,no,yes,58,4,yes,stay
746,no,yes,43,0,yes,stay
747,no,yes,42,3,yes,stay
748,yes,yes,37,5,yes,stay
749,yes,yes,36,0,yes,unsubscribe
750,no,yes,50,8,no,stay
751,yes,yes,44,3,yes,unsubscribe
752,no,yes,48,10,no,stay
753,no,yes,46,8,no,stay
754,yes,yes,48,10,no,stay
755,no,yes,61,10,no,stay
756,yes,yes,45,9,no,stay
757,yes,no,44,0,yes,stay
758,yes,yes,44,0,yes,stay
759,yes,yes,64,0,yes,unsubscribe
760,no,yes,43,10,no,stay
761,yes,yes,40,2,yes,unsubscribe
762,no,no,50,8,no,unsubscribe
763,no,yes,43,9,no,unsubscribe
764,yes,yes,42,9,no,stay
765,yes,yes,49,3,yes,unsubscribe
766,no,yes,55,7,yes,stay
767,yes,yes,31,3,yes,stay
768,no,yes,61,0,yes,unsubscribe
769,yes,yes,36,9,no,stay
